Lower case	Upper case	Translit	spell	Notes
𝛝	𝛝			mathematical bold theta symbol
𝛞	𝛞			mathematical bold kappa symbol
𝛟	𝛟			mathematical bold phi symbol
𝛠	𝛠			mathematical bold rho symbol
𝛡	𝛡			mathematical bold pi symbol
𝛻	𝛻			mathematical italic nabla
𝛼	𝛼			mathematical italic small alpha
𝛽	𝛽			mathematical italic small beta
𝛾	𝛾			mathematical italic small gamma
𝛿	𝛿			mathematical italic small delta
𝜀	𝜀			mathematical italic small epsilon
𝜁	𝜁			mathematical italic small zeta
𝜂	𝜂			mathematical italic small eta
𝜃	𝜃			mathematical italic small theta
𝜄	𝜄			mathematical italic small iota
𝜅	𝜅			mathematical italic small kappa
𝜆	𝜆			mathematical italic small lamda
𝜇	𝜇			mathematical italic small mu
𝜈	𝜈			mathematical italic small nu
𝜉	𝜉			mathematical italic small xi
𝜊	𝜊			mathematical italic small omicron
𝜋	𝜋			mathematical italic small pi
𝜌	𝜌			mathematical italic small rho
𝜍	𝜍			mathematical italic small final sigma
𝜎	𝜎			mathematical italic small sigma
𝜏	𝜏			mathematical italic small tau
𝜐	𝜐			mathematical italic small upsilon
𝜑	𝜑			mathematical italic small phi
𝜒	𝜒			mathematical italic small chi
𝜓	𝜓			mathematical italic small psi
𝜔	𝜔			mathematical italic small omega
𝜕	𝜕			mathematical italic partial differential
𝜖	𝜖			mathematical italic epsilon symbol
𝜗	𝜗			mathematical italic theta symbol
𝜘	𝜘			mathematical italic kappa symbol
𝜙	𝜙			mathematical italic phi symbol
𝜚	𝜚			mathematical italic rho symbol
𝜛	𝜛			mathematical italic pi symbol
𝜵	𝜵			mathematical bold italic nabla
𝜶	𝜶			mathematical bold italic small alpha
𝜷	𝜷			mathematical bold italic small beta
𝜸	𝜸			mathematical bold italic small gamma
𝜹	𝜹			mathematical bold italic small delta
𝜺	𝜺			mathematical bold italic small epsilon
𝜻	𝜻			mathematical bold italic small zeta
𝜼	𝜼			mathematical bold italic small eta
𝜽	𝜽			mathematical bold italic small theta
𝜾	𝜾			mathematical bold italic small iota
𝜿	𝜿			mathematical bold italic small kappa
𝝀	𝝀			mathematical bold italic small lamda
𝝁	𝝁			mathematical bold italic small mu
𝝂	𝝂			mathematical bold italic small nu
𝝃	𝝃			mathematical bold italic small xi
𝝄	𝝄			mathematical bold italic small omicron
𝝅	𝝅			mathematical bold italic small pi
𝝆	𝝆			mathematical bold italic small rho
𝝇	𝝇			mathematical bold italic small final sigma
𝝈	𝝈			mathematical bold italic small sigma
𝝉	𝝉			mathematical bold italic small tau
𝝊	𝝊			mathematical bold italic small upsilon
𝝋	𝝋			mathematical bold italic small phi
𝝌	𝝌			mathematical bold italic small chi
𝝍	𝝍			mathematical bold italic small psi
𝝎	𝝎			mathematical bold italic small omega
𝝏	𝝏			mathematical bold italic partial differential
𝝐	𝝐			mathematical bold italic epsilon symbol
𝝑	𝝑			mathematical bold italic theta symbol
𝝒	𝝒			mathematical bold italic kappa symbol
𝝓	𝝓			mathematical bold italic phi symbol
𝝔	𝝔			mathematical bold italic rho symbol
𝝕	𝝕			mathematical bold italic pi symbol
𝝯	𝝯			mathematical sans-serif bold nabla
𝝰	𝝰			mathematical sans-serif bold small alpha
𝝱	𝝱			mathematical sans-serif bold small beta
𝝲	𝝲			mathematical sans-serif bold small gamma
𝝳	𝝳			mathematical sans-serif bold small delta
𝝴	𝝴			mathematical sans-serif bold small epsilon
𝝵	𝝵			mathematical sans-serif bold small zeta
𝝶	𝝶			mathematical sans-serif bold small eta
𝝷	𝝷			mathematical sans-serif bold small theta
𝝸	𝝸			mathematical sans-serif bold small iota
𝝹	𝝹			mathematical sans-serif bold small kappa
𝝺	𝝺			mathematical sans-serif bold small lamda
𝝻	𝝻			mathematical sans-serif bold small mu
𝝼	𝝼			mathematical sans-serif bold small nu
𝝽	𝝽			mathematical sans-serif bold small xi
𝝾	𝝾			mathematical sans-serif bold small omicron
𝝿	𝝿			mathematical sans-serif bold small pi
𝞀	𝞀			mathematical sans-serif bold small rho
𝞁	𝞁			mathematical sans-serif bold small final sigma
𝞂	𝞂			mathematical sans-serif bold small sigma
𝞃	𝞃			mathematical sans-serif bold small tau
𝞄	𝞄			mathematical sans-serif bold small upsilon
𝞅	𝞅			mathematical sans-serif bold small phi
𝞆	𝞆			mathematical sans-serif bold small chi
𝞇	𝞇			mathematical sans-serif bold small psi
𝞈	𝞈			mathematical sans-serif bold small omega
𝞉	𝞉			mathematical sans-serif bold partial differential
𝞊	𝞊			mathematical sans-serif bold epsilon symbol
𝞋	𝞋			mathematical sans-serif bold theta symbol
𝞌	𝞌			mathematical sans-serif bold kappa symbol
𝞍	𝞍			mathematical sans-serif bold phi symbol
𝞎	𝞎			mathematical sans-serif bold rho symbol
𝞏	𝞏			mathematical sans-serif bold pi symbol
𝞩	𝞩			mathematical sans-serif bold italic nabla
𝞪	𝞪			mathematical sans-serif bold italic small alpha
𝞫	𝞫			mathematical sans-serif bold italic small beta
𝞬	𝞬			mathematical sans-serif bold italic small gamma
𝞭	𝞭			mathematical sans-serif bold italic small delta
𝞮	𝞮			mathematical sans-serif bold italic small epsilon
𝞯	𝞯			mathematical sans-serif bold italic small zeta
𝞰	𝞰			mathematical sans-serif bold italic small eta
𝞱	𝞱			mathematical sans-serif bold italic small theta
𝞲	𝞲			mathematical sans-serif bold italic small iota
𝞳	𝞳			mathematical sans-serif bold italic small kappa
𝞴	𝞴			mathematical sans-serif bold italic small lamda
𝞵	𝞵			mathematical sans-serif bold italic small mu
𝞶	𝞶			mathematical sans-serif bold italic small nu
𝞷	𝞷			mathematical sans-serif bold italic small xi
𝞸	𝞸			mathematical sans-serif bold italic small omicron
𝞹	𝞹			mathematical sans-serif bold italic small pi
𝞺	𝞺			mathematical sans-serif bold italic small rho
𝞻	𝞻			mathematical sans-serif bold italic small final sigma
𝞼	𝞼			mathematical sans-serif bold italic small sigma
𝞽	𝞽			mathematical sans-serif bold italic small tau
𝞾	𝞾			mathematical sans-serif bold italic small upsilon
𝞿	𝞿			mathematical sans-serif bold italic small phi
𝟀	𝟀			mathematical sans-serif bold italic small chi
𝟁	𝟁			mathematical sans-serif bold italic small psi
𝟂	𝟂			mathematical sans-serif bold italic small omega
𝟃	𝟃			mathematical sans-serif bold italic partial differential
𝟄	𝟄			mathematical sans-serif bold italic epsilon symbol
𝟅	𝟅			mathematical sans-serif bold italic theta symbol
𝟆	𝟆			mathematical sans-serif bold italic kappa symbol
𝟇	𝟇			mathematical sans-serif bold italic phi symbol
𝟈	𝟈			mathematical sans-serif bold italic rho symbol
𝟉	𝟉			mathematical sans-serif bold italic pi symbol
𝟋	𝟋			mathematical bold small digamma
𝟎	𝟎			mathematical bold digit zero
𝟏	𝟏			mathematical bold digit one
𝟐	𝟐			mathematical bold digit two
𝟑	𝟑			mathematical bold digit three
𝟒	𝟒			mathematical bold digit four
𝟓	𝟓			mathematical bold digit five
𝟔	𝟔			mathematical bold digit six
𝟕	𝟕			mathematical bold digit seven
𝟖	𝟖			mathematical bold digit eight
𝟗	𝟗			mathematical bold digit nine
𝟘	𝟘			mathematical double-struck digit zero
𝟙	𝟙			mathematical double-struck digit one
𝟚	𝟚			mathematical double-struck digit two
𝟛	𝟛			mathematical double-struck digit three
𝟜	𝟜			mathematical double-struck digit four
𝟝	𝟝			mathematical double-struck digit five
𝟞	𝟞			mathematical double-struck digit six
𝟟	𝟟			mathematical double-struck digit seven
𝟠	𝟠			mathematical double-struck digit eight
𝟡	𝟡			mathematical double-struck digit nine
𝟢	𝟢			mathematical sans-serif digit zero
𝟣	𝟣			mathematical sans-serif digit one
𝟤	𝟤			mathematical sans-serif digit two
𝟥	𝟥			mathematical sans-serif digit three
𝟦	𝟦			mathematical sans-serif digit four
𝟧	𝟧			mathematical sans-serif digit five
𝟨	𝟨			mathematical sans-serif digit six
𝟩	𝟩			mathematical sans-serif digit seven
𝟪	𝟪			mathematical sans-serif digit eight
𝟫	𝟫			mathematical sans-serif digit nine
𝟬	𝟬			mathematical sans-serif bold digit zero
𝟭	𝟭			mathematical sans-serif bold digit one
𝟮	𝟮			mathematical sans-serif bold digit two
𝟯	𝟯			mathematical sans-serif bold digit three
𝟰	𝟰			mathematical sans-serif bold digit four
𝟱	𝟱			mathematical sans-serif bold digit five
𝟲	𝟲			mathematical sans-serif bold digit six
𝟳	𝟳			mathematical sans-serif bold digit seven
𝟴	𝟴			mathematical sans-serif bold digit eight
𝟵	𝟵			mathematical sans-serif bold digit nine
𝟶	𝟶			mathematical monospace digit zero
𝟷	𝟷			mathematical monospace digit one
𝟸	𝟸			mathematical monospace digit two
𝟹	𝟹			mathematical monospace digit three
𝟺	𝟺			mathematical monospace digit four
𝟻	𝟻			mathematical monospace digit five
𝟼	𝟼			mathematical monospace digit six
𝟽	𝟽			mathematical monospace digit seven
𝟾	𝟾			mathematical monospace digit eight
𝟿	𝟿			mathematical monospace digit nine
